INFO - main.py - 2022-09-04 10:41:40,548 - Using device:cuda
INFO - main.py - 2022-09-04 10:41:40,550 - Writing log file to algorithms/A2C/logs
INFO - main.py - 2022-09-04 10:41:40,551 - Exp instance id = 30262
INFO - main.py - 2022-09-04 10:41:40,551 - Exp comment = 
INFO - main.py - 2022-09-04 10:41:44,169 - Start Training! Env: CartPole-v0, Algorithm: A2C
INFO - main.py - 2022-09-04 10:41:55,287 - episode: 0, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 10:41:55,333 - episode: 1, steps: 16, reward: 16.0
INFO - main.py - 2022-09-04 10:41:55,368 - episode: 2, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 10:41:55,412 - episode: 3, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 10:41:55,466 - episode: 4, steps: 21, reward: 21.0
INFO - main.py - 2022-09-04 10:41:55,553 - episode: 5, steps: 45, reward: 45.0
INFO - main.py - 2022-09-04 10:41:55,608 - episode: 6, steps: 22, reward: 22.0
INFO - main.py - 2022-09-04 10:41:55,662 - episode: 7, steps: 20, reward: 20.0
INFO - main.py - 2022-09-04 10:41:55,728 - episode: 8, steps: 30, reward: 30.0
INFO - main.py - 2022-09-04 10:41:55,774 - episode: 9, steps: 15, reward: 15.0
INFO - main.py - 2022-09-04 10:41:55,822 - episode: 10, steps: 16, reward: 16.0
INFO - main.py - 2022-09-04 10:41:55,871 - episode: 11, steps: 16, reward: 16.0
INFO - main.py - 2022-09-04 10:41:55,952 - episode: 12, steps: 40, reward: 40.0
INFO - main.py - 2022-09-04 10:41:55,991 - episode: 13, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 10:41:56,040 - episode: 14, steps: 17, reward: 17.0
INFO - main.py - 2022-09-04 10:41:56,103 - episode: 15, steps: 27, reward: 27.0
INFO - main.py - 2022-09-04 10:41:56,152 - episode: 16, steps: 17, reward: 17.0
INFO - main.py - 2022-09-04 10:41:56,217 - episode: 17, steps: 29, reward: 29.0
INFO - main.py - 2022-09-04 10:41:56,266 - episode: 18, steps: 16, reward: 16.0
INFO - main.py - 2022-09-04 10:41:56,324 - episode: 19, steps: 23, reward: 23.0
INFO - main.py - 2022-09-04 10:41:56,381 - episode: 20, steps: 23, reward: 23.0
INFO - main.py - 2022-09-04 10:41:56,423 - episode: 21, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 10:41:56,481 - episode: 22, steps: 23, reward: 23.0
INFO - main.py - 2022-09-04 10:41:56,526 - episode: 23, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 10:41:56,572 - episode: 24, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 10:41:56,624 - episode: 25, steps: 19, reward: 19.0
INFO - main.py - 2022-09-04 10:41:56,668 - episode: 26, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 10:41:56,722 - episode: 27, steps: 21, reward: 21.0
INFO - main.py - 2022-09-04 10:41:56,775 - episode: 28, steps: 21, reward: 21.0
INFO - main.py - 2022-09-04 10:41:56,832 - episode: 29, steps: 23, reward: 23.0
INFO - main.py - 2022-09-04 10:41:56,880 - episode: 30, steps: 16, reward: 16.0
INFO - main.py - 2022-09-04 10:41:56,927 - episode: 31, steps: 15, reward: 15.0
INFO - main.py - 2022-09-04 10:41:56,973 - episode: 32, steps: 15, reward: 15.0
INFO - main.py - 2022-09-04 10:41:57,016 - episode: 33, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 10:41:57,062 - episode: 34, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 10:41:57,134 - episode: 35, steps: 33, reward: 33.0
INFO - main.py - 2022-09-04 10:41:57,182 - episode: 36, steps: 15, reward: 15.0
INFO - main.py - 2022-09-04 10:41:57,230 - episode: 37, steps: 16, reward: 16.0
INFO - main.py - 2022-09-04 10:41:57,273 - episode: 38, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 10:41:57,510 - episode: 39, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 10:41:57,589 - episode: 40, steps: 38, reward: 38.0
INFO - main.py - 2022-09-04 10:41:57,643 - episode: 41, steps: 20, reward: 20.0
INFO - main.py - 2022-09-04 10:41:57,717 - episode: 42, steps: 29, reward: 29.0
INFO - main.py - 2022-09-04 10:41:57,758 - episode: 43, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 10:41:57,815 - episode: 44, steps: 21, reward: 21.0
INFO - main.py - 2022-09-04 10:41:57,877 - episode: 45, steps: 25, reward: 25.0
INFO - main.py - 2022-09-04 10:41:57,933 - episode: 46, steps: 19, reward: 19.0
INFO - main.py - 2022-09-04 10:41:57,990 - episode: 47, steps: 16, reward: 16.0
INFO - main.py - 2022-09-04 10:41:58,043 - episode: 48, steps: 17, reward: 17.0
INFO - main.py - 2022-09-04 10:41:58,096 - episode: 49, steps: 18, reward: 18.0
INFO - main.py - 2022-09-04 10:41:58,157 - episode: 50, steps: 25, reward: 25.0
INFO - main.py - 2022-09-04 10:41:58,199 - episode: 51, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 10:41:58,253 - episode: 52, steps: 21, reward: 21.0
INFO - main.py - 2022-09-04 10:41:58,309 - episode: 53, steps: 17, reward: 17.0
INFO - main.py - 2022-09-04 10:41:58,362 - episode: 54, steps: 20, reward: 20.0
INFO - main.py - 2022-09-04 10:41:58,406 - episode: 55, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 10:41:58,456 - episode: 56, steps: 18, reward: 18.0
INFO - main.py - 2022-09-04 10:41:58,509 - episode: 57, steps: 20, reward: 20.0
INFO - main.py - 2022-09-04 10:41:58,576 - episode: 58, steps: 25, reward: 25.0
INFO - main.py - 2022-09-04 10:41:58,699 - episode: 59, steps: 72, reward: 72.0
INFO - main.py - 2022-09-04 10:41:58,758 - episode: 60, steps: 23, reward: 23.0
INFO - main.py - 2022-09-04 10:41:58,806 - episode: 61, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 10:41:58,871 - episode: 62, steps: 24, reward: 24.0
INFO - main.py - 2022-09-04 10:41:58,946 - episode: 63, steps: 36, reward: 36.0
INFO - main.py - 2022-09-04 10:41:59,001 - episode: 64, steps: 22, reward: 22.0
INFO - main.py - 2022-09-04 10:41:59,049 - episode: 65, steps: 16, reward: 16.0
INFO - main.py - 2022-09-04 10:41:59,105 - episode: 66, steps: 23, reward: 23.0
INFO - main.py - 2022-09-04 10:41:59,169 - episode: 67, steps: 23, reward: 23.0
INFO - main.py - 2022-09-04 10:41:59,206 - episode: 68, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 10:41:59,252 - episode: 69, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 10:41:59,310 - episode: 70, steps: 23, reward: 23.0
INFO - main.py - 2022-09-04 10:41:59,354 - episode: 71, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 10:41:59,414 - episode: 72, steps: 26, reward: 26.0
