INFO - main.py - 2022-09-04 15:50:50,082 - Using device:cuda
INFO - main.py - 2022-09-04 15:50:50,086 - Writing log file to algorithms/A2C_GAE/logs
INFO - main.py - 2022-09-04 15:50:50,086 - Exp instance id = 8919
INFO - main.py - 2022-09-04 15:50:50,087 - Exp comment = 
INFO - main.py - 2022-09-04 15:50:53,408 - Start Training! Env: CartPole-v0, Algorithm: A2C_GAE
INFO - main.py - 2022-09-04 15:51:03,881 - episode: 0, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 15:51:03,955 - episode: 1, steps: 43, reward: 43.0
INFO - main.py - 2022-09-04 15:51:04,002 - episode: 2, steps: 20, reward: 20.0
INFO - main.py - 2022-09-04 15:51:04,043 - episode: 3, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 15:51:04,087 - episode: 4, steps: 15, reward: 15.0
INFO - main.py - 2022-09-04 15:51:04,151 - episode: 5, steps: 29, reward: 29.0
INFO - main.py - 2022-09-04 15:51:04,202 - episode: 6, steps: 18, reward: 18.0
INFO - main.py - 2022-09-04 15:51:04,274 - episode: 7, steps: 34, reward: 34.0
INFO - main.py - 2022-09-04 15:51:04,317 - episode: 8, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 15:51:04,398 - episode: 9, steps: 42, reward: 42.0
INFO - main.py - 2022-09-04 15:51:04,456 - episode: 10, steps: 23, reward: 23.0
INFO - main.py - 2022-09-04 15:51:04,502 - episode: 11, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:04,545 - episode: 12, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 15:51:04,607 - episode: 13, steps: 27, reward: 27.0
INFO - main.py - 2022-09-04 15:51:04,654 - episode: 14, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 15:51:04,699 - episode: 15, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:04,753 - episode: 16, steps: 21, reward: 21.0
INFO - main.py - 2022-09-04 15:51:04,804 - episode: 17, steps: 18, reward: 18.0
INFO - main.py - 2022-09-04 15:51:04,860 - episode: 18, steps: 21, reward: 21.0
INFO - main.py - 2022-09-04 15:51:04,904 - episode: 19, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 15:51:04,971 - episode: 20, steps: 29, reward: 29.0
INFO - main.py - 2022-09-04 15:51:05,047 - episode: 21, steps: 35, reward: 35.0
INFO - main.py - 2022-09-04 15:51:05,105 - episode: 22, steps: 22, reward: 22.0
INFO - main.py - 2022-09-04 15:51:05,152 - episode: 23, steps: 15, reward: 15.0
INFO - main.py - 2022-09-04 15:51:05,200 - episode: 24, steps: 15, reward: 15.0
INFO - main.py - 2022-09-04 15:51:05,256 - episode: 25, steps: 20, reward: 20.0
INFO - main.py - 2022-09-04 15:51:05,327 - episode: 26, steps: 33, reward: 33.0
INFO - main.py - 2022-09-04 15:51:05,384 - episode: 27, steps: 21, reward: 21.0
INFO - main.py - 2022-09-04 15:51:05,434 - episode: 28, steps: 18, reward: 18.0
INFO - main.py - 2022-09-04 15:51:05,484 - episode: 29, steps: 16, reward: 16.0
INFO - main.py - 2022-09-04 15:51:05,525 - episode: 30, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:05,578 - episode: 31, steps: 17, reward: 17.0
INFO - main.py - 2022-09-04 15:51:05,623 - episode: 32, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:05,668 - episode: 33, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 15:51:05,733 - episode: 34, steps: 28, reward: 28.0
INFO - main.py - 2022-09-04 15:51:05,794 - episode: 35, steps: 23, reward: 23.0
INFO - main.py - 2022-09-04 15:51:06,037 - episode: 36, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:06,094 - episode: 37, steps: 21, reward: 21.0
INFO - main.py - 2022-09-04 15:51:06,144 - episode: 38, steps: 16, reward: 16.0
INFO - main.py - 2022-09-04 15:51:06,211 - episode: 39, steps: 25, reward: 25.0
INFO - main.py - 2022-09-04 15:51:06,282 - episode: 40, steps: 32, reward: 32.0
INFO - main.py - 2022-09-04 15:51:06,333 - episode: 41, steps: 18, reward: 18.0
INFO - main.py - 2022-09-04 15:51:06,378 - episode: 42, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:06,421 - episode: 43, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:06,498 - episode: 44, steps: 33, reward: 33.0
INFO - main.py - 2022-09-04 15:51:06,562 - episode: 45, steps: 27, reward: 27.0
INFO - main.py - 2022-09-04 15:51:06,613 - episode: 46, steps: 18, reward: 18.0
INFO - main.py - 2022-09-04 15:51:06,661 - episode: 47, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 15:51:06,710 - episode: 48, steps: 17, reward: 17.0
INFO - main.py - 2022-09-04 15:51:06,781 - episode: 49, steps: 32, reward: 32.0
INFO - main.py - 2022-09-04 15:51:06,835 - episode: 50, steps: 15, reward: 15.0
INFO - main.py - 2022-09-04 15:51:06,896 - episode: 51, steps: 26, reward: 26.0
INFO - main.py - 2022-09-04 15:51:06,939 - episode: 52, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:06,988 - episode: 53, steps: 16, reward: 16.0
INFO - main.py - 2022-09-04 15:51:07,060 - episode: 54, steps: 33, reward: 33.0
INFO - main.py - 2022-09-04 15:51:07,127 - episode: 55, steps: 26, reward: 26.0
INFO - main.py - 2022-09-04 15:51:07,186 - episode: 56, steps: 23, reward: 23.0
INFO - main.py - 2022-09-04 15:51:07,241 - episode: 57, steps: 19, reward: 19.0
INFO - main.py - 2022-09-04 15:51:07,331 - episode: 58, steps: 48, reward: 48.0
INFO - main.py - 2022-09-04 15:51:07,420 - episode: 59, steps: 42, reward: 42.0
INFO - main.py - 2022-09-04 15:51:07,471 - episode: 60, steps: 17, reward: 17.0
INFO - main.py - 2022-09-04 15:51:07,512 - episode: 61, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:07,554 - episode: 62, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:07,617 - episode: 63, steps: 26, reward: 26.0
INFO - main.py - 2022-09-04 15:51:07,677 - episode: 64, steps: 23, reward: 23.0
INFO - main.py - 2022-09-04 15:51:07,735 - episode: 65, steps: 19, reward: 19.0
INFO - main.py - 2022-09-04 15:51:07,776 - episode: 66, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:07,871 - episode: 67, steps: 50, reward: 50.0
INFO - main.py - 2022-09-04 15:51:07,945 - episode: 68, steps: 33, reward: 33.0
INFO - main.py - 2022-09-04 15:51:08,007 - episode: 69, steps: 23, reward: 23.0
INFO - main.py - 2022-09-04 15:51:08,067 - episode: 70, steps: 24, reward: 24.0
INFO - main.py - 2022-09-04 15:51:08,119 - episode: 71, steps: 17, reward: 17.0
INFO - main.py - 2022-09-04 15:51:08,183 - episode: 72, steps: 27, reward: 27.0
INFO - main.py - 2022-09-04 15:51:08,232 - episode: 73, steps: 15, reward: 15.0
INFO - main.py - 2022-09-04 15:51:08,308 - episode: 74, steps: 34, reward: 34.0
INFO - main.py - 2022-09-04 15:51:08,369 - episode: 75, steps: 24, reward: 24.0
INFO - main.py - 2022-09-04 15:51:08,416 - episode: 76, steps: 15, reward: 15.0
INFO - main.py - 2022-09-04 15:51:08,465 - episode: 77, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:08,511 - episode: 78, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 15:51:08,557 - episode: 79, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:08,628 - episode: 80, steps: 30, reward: 30.0
INFO - main.py - 2022-09-04 15:51:08,680 - episode: 81, steps: 19, reward: 19.0
INFO - main.py - 2022-09-04 15:51:08,729 - episode: 82, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:08,841 - episode: 83, steps: 60, reward: 60.0
INFO - main.py - 2022-09-04 15:51:08,888 - episode: 84, steps: 15, reward: 15.0
INFO - main.py - 2022-09-04 15:51:08,935 - episode: 85, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 15:51:08,976 - episode: 86, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:09,035 - episode: 87, steps: 20, reward: 20.0
INFO - main.py - 2022-09-04 15:51:09,078 - episode: 88, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:09,134 - episode: 89, steps: 16, reward: 16.0
INFO - main.py - 2022-09-04 15:51:09,191 - episode: 90, steps: 22, reward: 22.0
INFO - main.py - 2022-09-04 15:51:09,237 - episode: 91, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:09,316 - episode: 92, steps: 36, reward: 36.0
INFO - main.py - 2022-09-04 15:51:09,398 - episode: 93, steps: 40, reward: 40.0
INFO - main.py - 2022-09-04 15:51:09,445 - episode: 94, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:09,509 - episode: 95, steps: 25, reward: 25.0
INFO - main.py - 2022-09-04 15:51:09,571 - episode: 96, steps: 26, reward: 26.0
INFO - main.py - 2022-09-04 15:51:09,612 - episode: 97, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:09,664 - episode: 98, steps: 17, reward: 17.0
INFO - main.py - 2022-09-04 15:51:09,705 - episode: 99, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:09,756 - episode: 100, steps: 18, reward: 18.0
INFO - main.py - 2022-09-04 15:51:09,809 - episode: 101, steps: 20, reward: 20.0
INFO - main.py - 2022-09-04 15:51:09,851 - episode: 102, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 15:51:09,934 - episode: 103, steps: 43, reward: 43.0
INFO - main.py - 2022-09-04 15:51:09,985 - episode: 104, steps: 18, reward: 18.0
INFO - main.py - 2022-09-04 15:51:10,029 - episode: 105, steps: 13, reward: 13.0
