INFO - main.py - 2022-08-31 22:31:41,003 - Using device:cuda
INFO - main.py - 2022-08-31 22:31:41,025 - Writing log file to algorithms/ActorCritic/logs
INFO - main.py - 2022-08-31 22:31:41,026 - Exp instance id = 31858
INFO - main.py - 2022-08-31 22:31:41,026 - Exp comment = 
INFO - main.py - 2022-08-31 22:31:46,245 - Start Training! Env: CartPole-v0, Algorithm: ActorCritic
INFO - main.py - 2022-08-31 22:31:48,123 - episode: 0, steps: 19, reward: 19.0
INFO - main.py - 2022-08-31 22:31:48,498 - episode: 1, steps: 21, reward: 21.0
INFO - main.py - 2022-08-31 22:31:48,947 - episode: 2, steps: 29, reward: 29.0
INFO - main.py - 2022-08-31 22:31:50,762 - episode: 3, steps: 50, reward: 50.0
INFO - main.py - 2022-08-31 22:31:51,085 - episode: 4, steps: 14, reward: 14.0
INFO - main.py - 2022-08-31 22:31:51,847 - episode: 5, steps: 27, reward: 27.0
INFO - main.py - 2022-08-31 22:31:54,077 - episode: 6, steps: 70, reward: 70.0
INFO - main.py - 2022-08-31 22:31:54,460 - episode: 7, steps: 11, reward: 11.0
INFO - main.py - 2022-08-31 22:31:54,697 - episode: 8, steps: 15, reward: 15.0
INFO - main.py - 2022-08-31 22:31:55,427 - episode: 9, steps: 33, reward: 33.0
INFO - main.py - 2022-08-31 22:31:56,546 - episode: 10, steps: 37, reward: 37.0
INFO - main.py - 2022-08-31 22:31:57,603 - episode: 11, steps: 25, reward: 25.0
INFO - main.py - 2022-08-31 22:31:57,928 - episode: 12, steps: 25, reward: 25.0
INFO - main.py - 2022-08-31 22:31:58,712 - episode: 13, steps: 27, reward: 27.0
INFO - main.py - 2022-08-31 22:32:00,116 - episode: 14, steps: 31, reward: 31.0
INFO - main.py - 2022-08-31 22:32:00,786 - episode: 15, steps: 32, reward: 32.0
INFO - main.py - 2022-08-31 22:32:01,113 - episode: 16, steps: 17, reward: 17.0
INFO - main.py - 2022-08-31 22:32:02,401 - episode: 17, steps: 25, reward: 25.0
INFO - main.py - 2022-08-31 22:32:03,111 - episode: 18, steps: 21, reward: 21.0
INFO - main.py - 2022-08-31 22:32:03,416 - episode: 19, steps: 12, reward: 12.0
INFO - main.py - 2022-08-31 22:32:03,618 - episode: 20, steps: 14, reward: 14.0
INFO - main.py - 2022-08-31 22:32:03,804 - episode: 21, steps: 16, reward: 16.0
INFO - main.py - 2022-08-31 22:32:04,607 - episode: 22, steps: 18, reward: 18.0
INFO - main.py - 2022-08-31 22:32:05,342 - episode: 23, steps: 21, reward: 21.0
INFO - main.py - 2022-08-31 22:32:05,631 - episode: 24, steps: 19, reward: 19.0
INFO - main.py - 2022-08-31 22:32:05,852 - episode: 25, steps: 12, reward: 12.0
INFO - main.py - 2022-08-31 22:32:06,114 - episode: 26, steps: 16, reward: 16.0
INFO - main.py - 2022-08-31 22:32:06,383 - episode: 27, steps: 15, reward: 15.0
INFO - main.py - 2022-08-31 22:32:07,233 - episode: 28, steps: 16, reward: 16.0
INFO - main.py - 2022-08-31 22:32:07,819 - episode: 29, steps: 15, reward: 15.0
INFO - main.py - 2022-08-31 22:32:08,063 - episode: 30, steps: 12, reward: 12.0
INFO - main.py - 2022-08-31 22:32:08,343 - episode: 31, steps: 14, reward: 14.0
INFO - main.py - 2022-08-31 22:32:08,603 - episode: 32, steps: 13, reward: 13.0
INFO - main.py - 2022-08-31 22:32:08,850 - episode: 33, steps: 12, reward: 12.0
INFO - main.py - 2022-08-31 22:32:09,572 - episode: 34, steps: 14, reward: 14.0
INFO - main.py - 2022-08-31 22:32:10,146 - episode: 35, steps: 12, reward: 12.0
INFO - main.py - 2022-08-31 22:32:10,295 - episode: 36, steps: 14, reward: 14.0
INFO - main.py - 2022-08-31 22:32:10,488 - episode: 37, steps: 17, reward: 17.0
INFO - main.py - 2022-08-31 22:32:10,601 - episode: 38, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:10,774 - episode: 39, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:11,115 - episode: 40, steps: 16, reward: 16.0
INFO - main.py - 2022-08-31 22:32:11,636 - episode: 41, steps: 13, reward: 13.0
INFO - main.py - 2022-08-31 22:32:12,201 - episode: 42, steps: 11, reward: 11.0
INFO - main.py - 2022-08-31 22:32:12,538 - episode: 43, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:12,685 - episode: 44, steps: 11, reward: 11.0
