INFO - main.py - 2022-09-02 02:35:04,690 - Using device:cuda
INFO - main.py - 2022-09-02 02:35:04,692 - Writing log file to algorithms/BaselineReinforce/logs
INFO - main.py - 2022-09-02 02:35:04,692 - Exp instance id = 27627
INFO - main.py - 2022-09-02 02:35:04,692 - Exp comment = 
INFO - main.py - 2022-09-02 02:35:08,797 - Start Training! Env: CartPole-v0, Algorithm: BaselineReinforce
INFO - main.py - 2022-09-02 02:35:21,536 - episode: 0, steps: 14, reward: 14.0
INFO - main.py - 2022-09-02 02:35:21,646 - episode: 1, steps: 58, reward: 58.0
INFO - main.py - 2022-09-02 02:35:21,698 - episode: 2, steps: 20, reward: 20.0
INFO - main.py - 2022-09-02 02:35:21,750 - episode: 3, steps: 20, reward: 20.0
INFO - main.py - 2022-09-02 02:35:21,829 - episode: 4, steps: 40, reward: 40.0
INFO - main.py - 2022-09-02 02:35:21,876 - episode: 5, steps: 17, reward: 17.0
INFO - main.py - 2022-09-02 02:35:21,913 - episode: 6, steps: 11, reward: 11.0
INFO - main.py - 2022-09-02 02:35:22,013 - episode: 7, steps: 59, reward: 59.0
INFO - main.py - 2022-09-02 02:35:22,063 - episode: 8, steps: 19, reward: 19.0
INFO - main.py - 2022-09-02 02:35:22,103 - episode: 9, steps: 13, reward: 13.0
INFO - main.py - 2022-09-02 02:35:22,151 - episode: 10, steps: 18, reward: 18.0
INFO - main.py - 2022-09-02 02:35:22,202 - episode: 11, steps: 21, reward: 21.0
INFO - main.py - 2022-09-02 02:35:22,270 - episode: 12, steps: 33, reward: 33.0
INFO - main.py - 2022-09-02 02:35:22,340 - episode: 13, steps: 31, reward: 31.0
INFO - main.py - 2022-09-02 02:35:22,383 - episode: 14, steps: 14, reward: 14.0
INFO - main.py - 2022-09-02 02:35:22,435 - episode: 15, steps: 23, reward: 23.0
INFO - main.py - 2022-09-02 02:35:22,476 - episode: 16, steps: 12, reward: 12.0
INFO - main.py - 2022-09-02 02:35:22,518 - episode: 17, steps: 13, reward: 13.0
INFO - main.py - 2022-09-02 02:35:22,570 - episode: 18, steps: 18, reward: 18.0
INFO - main.py - 2022-09-02 02:35:22,643 - episode: 19, steps: 30, reward: 30.0
INFO - main.py - 2022-09-02 02:35:22,721 - episode: 20, steps: 35, reward: 35.0
INFO - main.py - 2022-09-02 02:35:22,761 - episode: 21, steps: 10, reward: 10.0
INFO - main.py - 2022-09-02 02:35:22,803 - episode: 22, steps: 12, reward: 12.0
INFO - main.py - 2022-09-02 02:35:22,866 - episode: 23, steps: 25, reward: 25.0
INFO - main.py - 2022-09-02 02:35:22,911 - episode: 24, steps: 14, reward: 14.0
INFO - main.py - 2022-09-02 02:35:22,968 - episode: 25, steps: 21, reward: 21.0
INFO - main.py - 2022-09-02 02:35:23,014 - episode: 26, steps: 12, reward: 12.0
INFO - main.py - 2022-09-02 02:35:23,063 - episode: 27, steps: 14, reward: 14.0
INFO - main.py - 2022-09-02 02:35:23,110 - episode: 28, steps: 16, reward: 16.0
INFO - main.py - 2022-09-02 02:35:23,149 - episode: 29, steps: 10, reward: 10.0
INFO - main.py - 2022-09-02 02:35:23,198 - episode: 30, steps: 15, reward: 15.0
INFO - main.py - 2022-09-02 02:35:23,246 - episode: 31, steps: 14, reward: 14.0
INFO - main.py - 2022-09-02 02:35:23,296 - episode: 32, steps: 16, reward: 16.0
INFO - main.py - 2022-09-02 02:35:23,333 - episode: 33, steps: 8, reward: 8.0
INFO - main.py - 2022-09-02 02:35:23,384 - episode: 34, steps: 16, reward: 16.0
