INFO - main.py - 2022-08-29 10:41:55,076 - Using device:cuda
INFO - main.py - 2022-08-29 10:41:55,077 - Writing log file to algorithms/DQN/logs
INFO - main.py - 2022-08-29 10:41:55,118 - Exp instance id = 41593
INFO - main.py - 2022-08-29 10:41:55,118 - Exp comment = 
INFO - main.py - 2022-08-29 10:41:58,680 - Start Training! Env: CartPole-v0, Algorithm: DQN
INFO - main.py - 2022-08-29 10:41:59,190 - episode: 0, steps: 21, reward: 21.0
INFO - main.py - 2022-08-29 10:41:59,193 - episode: 1, steps: 21, reward: 21.0
INFO - main.py - 2022-08-29 10:42:11,341 - episode: 2, steps: 26, reward: 26.0
INFO - main.py - 2022-08-29 10:42:11,688 - episode: 3, steps: 20, reward: 20.0
INFO - main.py - 2022-08-29 10:42:12,044 - episode: 4, steps: 22, reward: 22.0
INFO - main.py - 2022-08-29 10:42:12,575 - episode: 5, steps: 33, reward: 33.0
INFO - main.py - 2022-08-29 10:42:12,931 - episode: 6, steps: 21, reward: 21.0
INFO - main.py - 2022-08-29 10:42:13,763 - episode: 7, steps: 49, reward: 49.0
INFO - main.py - 2022-08-29 10:42:14,102 - episode: 8, steps: 20, reward: 20.0
INFO - main.py - 2022-08-29 10:42:14,435 - episode: 9, steps: 19, reward: 19.0
INFO - main.py - 2022-08-29 10:42:14,652 - episode: 10, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 10:42:14,862 - episode: 11, steps: 12, reward: 12.0
INFO - main.py - 2022-08-29 10:42:15,015 - episode: 12, steps: 9, reward: 9.0
INFO - main.py - 2022-08-29 10:42:15,306 - episode: 13, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 10:42:15,702 - episode: 14, steps: 24, reward: 24.0
INFO - main.py - 2022-08-29 10:42:15,971 - episode: 15, steps: 16, reward: 16.0
INFO - main.py - 2022-08-29 10:42:16,381 - episode: 16, steps: 24, reward: 24.0
INFO - main.py - 2022-08-29 10:42:16,568 - episode: 17, steps: 11, reward: 11.0
INFO - main.py - 2022-08-29 10:42:16,808 - episode: 18, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 10:42:17,136 - episode: 19, steps: 20, reward: 20.0
INFO - main.py - 2022-08-29 10:42:17,388 - episode: 20, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 10:42:17,554 - episode: 21, steps: 10, reward: 10.0
INFO - main.py - 2022-08-29 10:42:17,774 - episode: 22, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 10:42:17,953 - episode: 23, steps: 10, reward: 10.0
INFO - main.py - 2022-08-29 10:42:18,192 - episode: 24, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 10:42:18,383 - episode: 25, steps: 11, reward: 11.0
