INFO - main.py - 2022-08-29 02:51:09,731 - Using device:cuda
INFO - main.py - 2022-08-29 02:51:09,733 - Writing log file to algorithms/DoubleDQN/logs
INFO - main.py - 2022-08-29 02:51:09,733 - Exp instance id = 2777
INFO - main.py - 2022-08-29 02:51:09,733 - Exp comment = 
INFO - main.py - 2022-08-29 02:51:13,416 - Start Training! Env: CartPole-v0, Algorithm: DoubleDQN
INFO - main.py - 2022-08-29 02:51:13,975 - episode: 0, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 02:51:13,977 - episode: 1, steps: 10, reward: 10.0
INFO - main.py - 2022-08-29 02:51:13,982 - episode: 2, steps: 20, reward: 20.0
INFO - main.py - 2022-08-29 02:51:28,107 - episode: 3, steps: 53, reward: 53.0
INFO - main.py - 2022-08-29 02:51:28,769 - episode: 4, steps: 29, reward: 29.0
INFO - main.py - 2022-08-29 02:51:29,108 - episode: 5, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 02:51:30,290 - episode: 6, steps: 52, reward: 52.0
INFO - main.py - 2022-08-29 02:51:30,515 - episode: 7, steps: 10, reward: 10.0
INFO - main.py - 2022-08-29 02:51:31,003 - episode: 8, steps: 23, reward: 23.0
INFO - main.py - 2022-08-29 02:51:31,445 - episode: 9, steps: 19, reward: 19.0
INFO - main.py - 2022-08-29 02:51:32,007 - episode: 10, steps: 25, reward: 25.0
INFO - main.py - 2022-08-29 02:51:32,331 - episode: 11, steps: 14, reward: 14.0
INFO - main.py - 2022-08-29 02:51:32,814 - episode: 12, steps: 21, reward: 21.0
INFO - main.py - 2022-08-29 02:51:33,432 - episode: 13, steps: 26, reward: 26.0
INFO - main.py - 2022-08-29 02:51:33,756 - episode: 14, steps: 14, reward: 14.0
INFO - main.py - 2022-08-29 02:51:34,014 - episode: 15, steps: 11, reward: 11.0
INFO - main.py - 2022-08-29 02:51:34,254 - episode: 16, steps: 10, reward: 10.0
INFO - main.py - 2022-08-29 02:51:34,617 - episode: 17, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 02:51:34,904 - episode: 18, steps: 12, reward: 12.0
INFO - main.py - 2022-08-29 02:51:35,264 - episode: 19, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 02:51:35,608 - episode: 20, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 02:51:35,826 - episode: 21, steps: 9, reward: 9.0
INFO - main.py - 2022-08-29 02:51:36,033 - episode: 22, steps: 9, reward: 9.0
INFO - main.py - 2022-08-29 02:51:36,265 - episode: 23, steps: 10, reward: 10.0
INFO - main.py - 2022-08-29 02:51:36,590 - episode: 24, steps: 13, reward: 13.0
