INFO - main.py - 2022-08-29 22:29:29,106 - Using device:cuda
INFO - main.py - 2022-08-29 22:29:29,107 - Writing log file to algorithms/DuelingDQN/logs
INFO - main.py - 2022-08-29 22:29:29,107 - Exp instance id = 25315
INFO - main.py - 2022-08-29 22:29:29,107 - Exp comment = 
INFO - main.py - 2022-08-29 22:29:33,826 - Start Training! Env: CartPole-v0, Algorithm: DuelingDQN
INFO - main.py - 2022-08-29 22:29:34,477 - episode: 0, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 22:29:34,480 - episode: 1, steps: 10, reward: 10.0
INFO - main.py - 2022-08-29 22:29:34,482 - episode: 2, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 22:29:48,391 - episode: 3, steps: 24, reward: 24.0
INFO - main.py - 2022-08-29 22:29:49,042 - episode: 4, steps: 26, reward: 26.0
INFO - main.py - 2022-08-29 22:29:49,713 - episode: 5, steps: 25, reward: 25.0
INFO - main.py - 2022-08-29 22:29:50,081 - episode: 6, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 22:29:50,433 - episode: 7, steps: 14, reward: 14.0
INFO - main.py - 2022-08-29 22:29:50,762 - episode: 8, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 22:29:51,190 - episode: 9, steps: 19, reward: 19.0
INFO - main.py - 2022-08-29 22:29:51,938 - episode: 10, steps: 34, reward: 34.0
INFO - main.py - 2022-08-29 22:29:52,383 - episode: 11, steps: 19, reward: 19.0
INFO - main.py - 2022-08-29 22:29:52,697 - episode: 12, steps: 14, reward: 14.0
INFO - main.py - 2022-08-29 22:29:53,176 - episode: 13, steps: 21, reward: 21.0
INFO - main.py - 2022-08-29 22:29:53,978 - episode: 14, steps: 34, reward: 34.0
INFO - main.py - 2022-08-29 22:29:54,476 - episode: 15, steps: 20, reward: 20.0
INFO - main.py - 2022-08-29 22:29:55,425 - episode: 16, steps: 34, reward: 34.0
INFO - main.py - 2022-08-29 22:29:55,972 - episode: 17, steps: 22, reward: 22.0
INFO - main.py - 2022-08-29 22:29:56,356 - episode: 18, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 22:29:56,625 - episode: 19, steps: 12, reward: 12.0
INFO - main.py - 2022-08-29 22:29:56,923 - episode: 20, steps: 14, reward: 14.0
INFO - main.py - 2022-08-29 22:29:57,522 - episode: 21, steps: 25, reward: 25.0
INFO - main.py - 2022-08-29 22:29:58,038 - episode: 22, steps: 16, reward: 16.0
INFO - main.py - 2022-08-29 22:29:58,683 - episode: 23, steps: 26, reward: 26.0
INFO - main.py - 2022-08-29 22:29:59,033 - episode: 24, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 22:29:59,598 - episode: 25, steps: 23, reward: 23.0
INFO - main.py - 2022-08-29 22:30:00,260 - episode: 26, steps: 27, reward: 27.0
INFO - main.py - 2022-08-29 22:30:01,934 - episode: 27, steps: 62, reward: 62.0
INFO - main.py - 2022-08-29 22:30:02,865 - episode: 28, steps: 39, reward: 39.0
INFO - main.py - 2022-08-29 22:30:03,876 - episode: 29, steps: 37, reward: 37.0
INFO - main.py - 2022-08-29 22:30:04,525 - episode: 30, steps: 28, reward: 28.0
INFO - main.py - 2022-08-29 22:30:06,675 - episode: 31, steps: 36, reward: 36.0
INFO - main.py - 2022-08-29 22:30:08,049 - episode: 32, steps: 53, reward: 53.0
INFO - main.py - 2022-08-29 22:30:08,551 - episode: 33, steps: 20, reward: 20.0
INFO - main.py - 2022-08-29 22:30:09,355 - episode: 34, steps: 34, reward: 34.0
INFO - main.py - 2022-08-29 22:30:10,010 - episode: 35, steps: 27, reward: 27.0
INFO - main.py - 2022-08-29 22:30:10,563 - episode: 36, steps: 23, reward: 23.0
INFO - main.py - 2022-08-29 22:30:12,944 - episode: 37, steps: 44, reward: 44.0
INFO - main.py - 2022-08-29 22:30:15,234 - episode: 38, steps: 93, reward: 93.0
INFO - main.py - 2022-08-29 22:30:17,792 - episode: 39, steps: 99, reward: 99.0
INFO - main.py - 2022-08-29 22:30:20,757 - episode: 40, steps: 121, reward: 121.0
INFO - main.py - 2022-08-29 22:30:21,062 - episode: 41, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 22:30:24,207 - episode: 42, steps: 121, reward: 121.0
INFO - main.py - 2022-08-29 22:30:26,765 - episode: 43, steps: 97, reward: 97.0
INFO - main.py - 2022-08-29 22:30:29,036 - episode: 44, steps: 84, reward: 84.0
INFO - main.py - 2022-08-29 22:30:32,933 - episode: 45, steps: 147, reward: 147.0
INFO - main.py - 2022-08-29 22:30:36,632 - episode: 46, steps: 101, reward: 101.0
INFO - main.py - 2022-08-29 22:30:37,768 - episode: 47, steps: 27, reward: 27.0
INFO - main.py - 2022-08-29 22:30:44,224 - episode: 48, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:30:48,963 - episode: 49, steps: 187, reward: 187.0
INFO - main.py - 2022-08-29 22:30:53,692 - episode: 50, steps: 171, reward: 171.0
INFO - main.py - 2022-08-29 22:31:01,869 - episode: 51, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:31:06,952 - episode: 52, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:31:12,951 - episode: 53, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:31:19,465 - episode: 54, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:31:24,466 - episode: 55, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:31:30,876 - episode: 56, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:31:36,028 - episode: 57, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:31:41,165 - episode: 58, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:31:46,849 - episode: 59, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:31:52,107 - episode: 60, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:31:57,246 - episode: 61, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:32:02,566 - episode: 62, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:32:08,684 - episode: 63, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:32:13,814 - episode: 64, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:32:20,013 - episode: 65, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:32:25,235 - episode: 66, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:32:30,349 - episode: 67, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:32:36,927 - episode: 68, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:32:42,160 - episode: 69, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:32:48,164 - episode: 70, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:32:53,404 - episode: 71, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:32:58,648 - episode: 72, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:33:03,924 - episode: 73, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:33:10,484 - episode: 74, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:33:16,716 - episode: 75, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:33:21,948 - episode: 76, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:33:27,121 - episode: 77, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:33:32,397 - episode: 78, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:33:38,748 - episode: 79, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:33:44,792 - episode: 80, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:33:50,079 - episode: 81, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:33:55,439 - episode: 82, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:34:07,172 - episode: 83, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:34:30,494 - episode: 84, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:34:54,783 - episode: 85, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:35:12,891 - episode: 86, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:35:19,985 - episode: 87, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:35:25,095 - episode: 88, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:35:30,290 - episode: 89, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:35:35,388 - episode: 90, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:35:41,576 - episode: 91, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:35:46,799 - episode: 92, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:35:52,090 - episode: 93, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:35:58,985 - episode: 94, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:36:04,350 - episode: 95, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:36:10,475 - episode: 96, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:36:15,701 - episode: 97, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:36:20,794 - episode: 98, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:36:27,221 - episode: 99, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:36:32,343 - episode: 100, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:36:38,537 - episode: 101, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:36:43,571 - episode: 102, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:36:48,873 - episode: 103, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:36:54,318 - episode: 104, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:37:00,611 - episode: 105, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:37:06,496 - episode: 106, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:37:11,649 - episode: 107, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:37:16,976 - episode: 108, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:37:22,558 - episode: 109, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:37:27,630 - episode: 110, steps: 160, reward: 160.0
INFO - main.py - 2022-08-29 22:37:34,663 - episode: 111, steps: 182, reward: 182.0
INFO - main.py - 2022-08-29 22:37:39,744 - episode: 112, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:37:45,283 - episode: 113, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:37:51,424 - episode: 114, steps: 172, reward: 172.0
INFO - main.py - 2022-08-29 22:37:57,943 - episode: 115, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:38:04,627 - episode: 116, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:38:09,337 - episode: 117, steps: 182, reward: 182.0
INFO - main.py - 2022-08-29 22:38:16,250 - episode: 118, steps: 198, reward: 198.0
INFO - main.py - 2022-08-29 22:38:21,787 - episode: 119, steps: 191, reward: 191.0
INFO - main.py - 2022-08-29 22:38:26,754 - episode: 120, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:38:31,777 - episode: 121, steps: 198, reward: 198.0
INFO - main.py - 2022-08-29 22:38:37,045 - episode: 122, steps: 193, reward: 193.0
INFO - main.py - 2022-08-29 22:38:42,625 - episode: 123, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:38:49,758 - episode: 124, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:38:54,194 - episode: 125, steps: 171, reward: 171.0
INFO - main.py - 2022-08-29 22:38:59,266 - episode: 126, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:39:04,474 - episode: 127, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:39:09,628 - episode: 128, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:39:15,004 - episode: 129, steps: 181, reward: 181.0
INFO - main.py - 2022-08-29 22:39:20,309 - episode: 130, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:39:26,983 - episode: 131, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:39:32,432 - episode: 132, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:39:37,631 - episode: 133, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:39:43,671 - episode: 134, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:39:49,177 - episode: 135, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:39:56,059 - episode: 136, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:40:20,102 - episode: 137, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:40:45,361 - episode: 138, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:41:02,280 - episode: 139, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:41:08,951 - episode: 140, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:41:14,913 - episode: 141, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:41:19,626 - episode: 142, steps: 186, reward: 186.0
INFO - main.py - 2022-08-29 22:41:24,910 - episode: 143, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:41:30,226 - episode: 144, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:41:37,252 - episode: 145, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:41:43,463 - episode: 146, steps: 183, reward: 183.0
INFO - main.py - 2022-08-29 22:41:48,953 - episode: 147, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:41:54,020 - episode: 148, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:42:00,556 - episode: 149, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:42:06,679 - episode: 150, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:42:12,906 - episode: 151, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:42:18,050 - episode: 152, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:42:23,371 - episode: 153, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:42:28,711 - episode: 154, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:42:35,670 - episode: 155, steps: 187, reward: 187.0
INFO - main.py - 2022-08-29 22:42:41,820 - episode: 156, steps: 195, reward: 195.0
INFO - main.py - 2022-08-29 22:42:47,105 - episode: 157, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:42:52,167 - episode: 158, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:42:57,392 - episode: 159, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:43:02,847 - episode: 160, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:43:08,477 - episode: 161, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:43:14,344 - episode: 162, steps: 182, reward: 182.0
INFO - main.py - 2022-08-29 22:43:19,332 - episode: 163, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:43:24,481 - episode: 164, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:43:29,531 - episode: 165, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:43:35,992 - episode: 166, steps: 190, reward: 190.0
INFO - main.py - 2022-08-29 22:43:42,591 - episode: 167, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:43:47,768 - episode: 168, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:43:53,065 - episode: 169, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:44:00,376 - episode: 170, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:44:06,478 - episode: 171, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:44:11,667 - episode: 172, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:44:19,563 - episode: 173, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:44:24,797 - episode: 174, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:44:30,043 - episode: 175, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:44:35,445 - episode: 176, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:44:40,829 - episode: 177, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:44:47,315 - episode: 178, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:44:52,269 - episode: 179, steps: 194, reward: 194.0
INFO - main.py - 2022-08-29 22:44:56,941 - episode: 180, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:45:01,686 - episode: 181, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:45:07,662 - episode: 182, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:45:15,744 - episode: 183, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:45:20,393 - episode: 184, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:45:25,540 - episode: 185, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:45:32,108 - episode: 186, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:45:38,013 - episode: 187, steps: 192, reward: 192.0
INFO - main.py - 2022-08-29 22:45:44,252 - episode: 188, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:46:08,544 - episode: 189, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:46:33,684 - episode: 190, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:46:43,849 - episode: 191, steps: 182, reward: 182.0
INFO - main.py - 2022-08-29 22:46:50,149 - episode: 192, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:46:56,511 - episode: 193, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:47:00,931 - episode: 194, steps: 176, reward: 176.0
INFO - main.py - 2022-08-29 22:47:05,959 - episode: 195, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 22:47:11,385 - episode: 196, steps: 200, reward: 200.0
