INFO - main.py - 2022-08-27 12:08:37,878 - Using device:cuda
INFO - main.py - 2022-08-27 12:08:37,880 - Writing log file to algorithms/QLearning/logs
INFO - main.py - 2022-08-27 12:08:37,880 - Exp instance id = 17274
INFO - main.py - 2022-08-27 12:08:37,881 - Exp comment = 
INFO - main.py - 2022-08-27 12:08:38,008 - Start Training! Env: CliffWalking-v0, Algorithm: QLearning
INFO - main.py - 2022-08-27 12:08:38,023 - episode: 0, steps: 178, reward: -1267
INFO - main.py - 2022-08-27 12:08:38,062 - episode: 1, steps: 769, reward: -2155
INFO - main.py - 2022-08-27 12:08:38,074 - episode: 2, steps: 248, reward: -248
INFO - main.py - 2022-08-27 12:08:38,085 - episode: 3, steps: 211, reward: -211
INFO - main.py - 2022-08-27 12:08:38,098 - episode: 4, steps: 281, reward: -281
INFO - main.py - 2022-08-27 12:08:38,102 - episode: 5, steps: 84, reward: -84
INFO - main.py - 2022-08-27 12:08:38,113 - episode: 6, steps: 210, reward: -210
INFO - main.py - 2022-08-27 12:08:38,116 - episode: 7, steps: 42, reward: -42
INFO - main.py - 2022-08-27 12:08:38,128 - episode: 8, steps: 265, reward: -265
INFO - main.py - 2022-08-27 12:08:38,135 - episode: 9, steps: 120, reward: -120
INFO - main.py - 2022-08-27 12:08:38,141 - episode: 10, steps: 117, reward: -117
INFO - main.py - 2022-08-27 12:08:38,155 - episode: 11, steps: 158, reward: -158
INFO - main.py - 2022-08-27 12:08:38,165 - episode: 12, steps: 64, reward: -64
INFO - main.py - 2022-08-27 12:08:38,175 - episode: 13, steps: 143, reward: -143
INFO - main.py - 2022-08-27 12:08:38,188 - episode: 14, steps: 245, reward: -344
INFO - main.py - 2022-08-27 12:08:38,193 - episode: 15, steps: 87, reward: -87
INFO - main.py - 2022-08-27 12:08:38,202 - episode: 16, steps: 162, reward: -261
INFO - main.py - 2022-08-27 12:08:38,206 - episode: 17, steps: 58, reward: -58
INFO - main.py - 2022-08-27 12:08:38,213 - episode: 18, steps: 120, reward: -120
INFO - main.py - 2022-08-27 12:08:38,222 - episode: 19, steps: 119, reward: -119
INFO - main.py - 2022-08-27 12:08:38,228 - episode: 20, steps: 87, reward: -87
INFO - main.py - 2022-08-27 12:08:38,233 - episode: 21, steps: 84, reward: -84
INFO - main.py - 2022-08-27 12:08:38,241 - episode: 22, steps: 116, reward: -215
INFO - main.py - 2022-08-27 12:08:38,245 - episode: 23, steps: 55, reward: -55
INFO - main.py - 2022-08-27 12:08:38,252 - episode: 24, steps: 121, reward: -121
INFO - main.py - 2022-08-27 12:08:38,260 - episode: 25, steps: 124, reward: -124
INFO - main.py - 2022-08-27 12:08:38,263 - episode: 26, steps: 33, reward: -33
INFO - main.py - 2022-08-27 12:08:38,270 - episode: 27, steps: 123, reward: -123
INFO - main.py - 2022-08-27 12:08:38,276 - episode: 28, steps: 75, reward: -75
INFO - main.py - 2022-08-27 12:08:38,279 - episode: 29, steps: 47, reward: -47
INFO - main.py - 2022-08-27 12:08:38,284 - episode: 30, steps: 58, reward: -58
INFO - main.py - 2022-08-27 12:08:38,291 - episode: 31, steps: 103, reward: -103
INFO - main.py - 2022-08-27 12:08:38,299 - episode: 32, steps: 112, reward: -112
INFO - main.py - 2022-08-27 12:08:38,303 - episode: 33, steps: 44, reward: -44
INFO - main.py - 2022-08-27 12:08:38,308 - episode: 34, steps: 74, reward: -74
INFO - main.py - 2022-08-27 12:08:38,313 - episode: 35, steps: 77, reward: -77
INFO - main.py - 2022-08-27 12:08:38,319 - episode: 36, steps: 83, reward: -83
INFO - main.py - 2022-08-27 12:08:38,325 - episode: 37, steps: 92, reward: -92
INFO - main.py - 2022-08-27 12:08:38,329 - episode: 38, steps: 52, reward: -52
INFO - main.py - 2022-08-27 12:08:38,334 - episode: 39, steps: 68, reward: -68
INFO - main.py - 2022-08-27 12:08:38,339 - episode: 40, steps: 71, reward: -71
INFO - main.py - 2022-08-27 12:08:38,342 - episode: 41, steps: 45, reward: -45
INFO - main.py - 2022-08-27 12:08:38,346 - episode: 42, steps: 50, reward: -50
INFO - main.py - 2022-08-27 12:08:38,352 - episode: 43, steps: 83, reward: -83
INFO - main.py - 2022-08-27 12:08:38,356 - episode: 44, steps: 57, reward: -57
INFO - main.py - 2022-08-27 12:08:38,359 - episode: 45, steps: 45, reward: -45
INFO - main.py - 2022-08-27 12:08:38,366 - episode: 46, steps: 104, reward: -104
INFO - main.py - 2022-08-27 12:08:38,369 - episode: 47, steps: 34, reward: -34
INFO - main.py - 2022-08-27 12:08:38,375 - episode: 48, steps: 104, reward: -104
INFO - main.py - 2022-08-27 12:08:38,377 - episode: 49, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:08:38,382 - episode: 50, steps: 67, reward: -67
INFO - main.py - 2022-08-27 12:08:38,386 - episode: 51, steps: 56, reward: -56
INFO - main.py - 2022-08-27 12:08:38,391 - episode: 52, steps: 62, reward: -62
INFO - main.py - 2022-08-27 12:08:38,395 - episode: 53, steps: 42, reward: -42
INFO - main.py - 2022-08-27 12:08:38,398 - episode: 54, steps: 33, reward: -33
