INFO - main.py - 2022-08-29 21:58:53,527 - Using device:cuda
INFO - main.py - 2022-08-29 21:58:53,527 - Writing log file to algorithms/Reinforce/logs
INFO - main.py - 2022-08-29 21:58:53,528 - Exp instance id = 1695
INFO - main.py - 2022-08-29 21:58:53,528 - Exp comment = 
INFO - main.py - 2022-08-29 21:58:57,264 - Start Training! Env: CartPole-v0, Algorithm: Reinforce
INFO - main.py - 2022-08-29 21:59:10,613 - episode: 0, steps: 14, reward: 14.0
INFO - main.py - 2022-08-29 21:59:10,704 - episode: 1, steps: 43, reward: 43.0
INFO - main.py - 2022-08-29 21:59:10,748 - episode: 2, steps: 20, reward: 20.0
INFO - main.py - 2022-08-29 21:59:10,783 - episode: 3, steps: 14, reward: 14.0
INFO - main.py - 2022-08-29 21:59:10,821 - episode: 4, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 21:59:10,877 - episode: 5, steps: 29, reward: 29.0
INFO - main.py - 2022-08-29 21:59:10,920 - episode: 6, steps: 18, reward: 18.0
INFO - main.py - 2022-08-29 21:59:10,981 - episode: 7, steps: 34, reward: 34.0
INFO - main.py - 2022-08-29 21:59:11,014 - episode: 8, steps: 12, reward: 12.0
INFO - main.py - 2022-08-29 21:59:11,103 - episode: 9, steps: 53, reward: 53.0
INFO - main.py - 2022-08-29 21:59:11,194 - episode: 10, steps: 52, reward: 52.0
INFO - main.py - 2022-08-29 21:59:11,228 - episode: 11, steps: 10, reward: 10.0
INFO - main.py - 2022-08-29 21:59:11,268 - episode: 12, steps: 14, reward: 14.0
INFO - main.py - 2022-08-29 21:59:11,308 - episode: 13, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 21:59:11,352 - episode: 14, steps: 20, reward: 20.0
INFO - main.py - 2022-08-29 21:59:11,404 - episode: 15, steps: 24, reward: 24.0
INFO - main.py - 2022-08-29 21:59:11,440 - episode: 16, steps: 14, reward: 14.0
INFO - main.py - 2022-08-29 21:59:11,511 - episode: 17, steps: 11, reward: 11.0
INFO - main.py - 2022-08-29 21:59:11,603 - episode: 18, steps: 19, reward: 19.0
INFO - main.py - 2022-08-29 21:59:11,632 - episode: 19, steps: 10, reward: 10.0
INFO - main.py - 2022-08-29 21:59:11,711 - episode: 20, steps: 43, reward: 43.0
INFO - main.py - 2022-08-29 21:59:11,757 - episode: 21, steps: 22, reward: 22.0
INFO - main.py - 2022-08-29 21:59:11,825 - episode: 22, steps: 35, reward: 35.0
INFO - main.py - 2022-08-29 21:59:11,860 - episode: 23, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 21:59:11,897 - episode: 24, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 21:59:11,992 - episode: 25, steps: 53, reward: 53.0
INFO - main.py - 2022-08-29 21:59:12,041 - episode: 26, steps: 20, reward: 20.0
INFO - main.py - 2022-08-29 21:59:12,076 - episode: 27, steps: 11, reward: 11.0
INFO - main.py - 2022-08-29 21:59:12,183 - episode: 28, steps: 64, reward: 64.0
INFO - main.py - 2022-08-29 21:59:12,222 - episode: 29, steps: 16, reward: 16.0
INFO - main.py - 2022-08-29 21:59:12,256 - episode: 30, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 21:59:12,312 - episode: 31, steps: 26, reward: 26.0
INFO - main.py - 2022-08-29 21:59:12,357 - episode: 32, steps: 21, reward: 21.0
INFO - main.py - 2022-08-29 21:59:12,415 - episode: 33, steps: 30, reward: 30.0
INFO - main.py - 2022-08-29 21:59:12,464 - episode: 34, steps: 22, reward: 22.0
INFO - main.py - 2022-08-29 21:59:12,498 - episode: 35, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 21:59:12,533 - episode: 36, steps: 14, reward: 14.0
INFO - main.py - 2022-08-29 21:59:12,585 - episode: 37, steps: 25, reward: 25.0
INFO - main.py - 2022-08-29 21:59:12,648 - episode: 38, steps: 33, reward: 33.0
INFO - main.py - 2022-08-29 21:59:12,691 - episode: 39, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 21:59:12,729 - episode: 40, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 21:59:12,766 - episode: 41, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 21:59:12,801 - episode: 42, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 21:59:12,840 - episode: 43, steps: 16, reward: 16.0
INFO - main.py - 2022-08-29 21:59:12,876 - episode: 44, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 21:59:12,912 - episode: 45, steps: 11, reward: 11.0
INFO - main.py - 2022-08-29 21:59:12,960 - episode: 46, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 21:59:13,006 - episode: 47, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 21:59:13,041 - episode: 48, steps: 12, reward: 12.0
INFO - main.py - 2022-08-29 21:59:13,091 - episode: 49, steps: 26, reward: 26.0
INFO - main.py - 2022-08-29 21:59:13,128 - episode: 50, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 21:59:13,183 - episode: 51, steps: 30, reward: 30.0
INFO - main.py - 2022-08-29 21:59:13,221 - episode: 52, steps: 14, reward: 14.0
INFO - main.py - 2022-08-29 21:59:13,259 - episode: 53, steps: 14, reward: 14.0
INFO - main.py - 2022-08-29 21:59:13,294 - episode: 54, steps: 12, reward: 12.0
INFO - main.py - 2022-08-29 21:59:13,336 - episode: 55, steps: 18, reward: 18.0
INFO - main.py - 2022-08-29 21:59:13,371 - episode: 56, steps: 12, reward: 12.0
INFO - main.py - 2022-08-29 21:59:13,427 - episode: 57, steps: 29, reward: 29.0
INFO - main.py - 2022-08-29 21:59:13,464 - episode: 58, steps: 16, reward: 16.0
INFO - main.py - 2022-08-29 21:59:13,518 - episode: 59, steps: 28, reward: 28.0
INFO - main.py - 2022-08-29 21:59:13,556 - episode: 60, steps: 20, reward: 20.0
INFO - main.py - 2022-08-29 21:59:13,592 - episode: 61, steps: 19, reward: 19.0
INFO - main.py - 2022-08-29 21:59:13,652 - episode: 62, steps: 25, reward: 25.0
INFO - main.py - 2022-08-29 21:59:13,787 - episode: 63, steps: 49, reward: 49.0
INFO - main.py - 2022-08-29 21:59:13,926 - episode: 64, steps: 19, reward: 19.0
INFO - main.py - 2022-08-29 21:59:14,063 - episode: 65, steps: 21, reward: 21.0
INFO - main.py - 2022-08-29 21:59:14,249 - episode: 66, steps: 38, reward: 38.0
INFO - main.py - 2022-08-29 21:59:14,354 - episode: 67, steps: 11, reward: 11.0
INFO - main.py - 2022-08-29 21:59:14,490 - episode: 68, steps: 27, reward: 27.0
INFO - main.py - 2022-08-29 21:59:14,606 - episode: 69, steps: 19, reward: 19.0
INFO - main.py - 2022-08-29 21:59:14,671 - episode: 70, steps: 25, reward: 25.0
INFO - main.py - 2022-08-29 21:59:14,699 - episode: 71, steps: 12, reward: 12.0
INFO - main.py - 2022-08-29 21:59:14,729 - episode: 72, steps: 12, reward: 12.0
INFO - main.py - 2022-08-29 21:59:14,857 - episode: 73, steps: 72, reward: 72.0
INFO - main.py - 2022-08-29 21:59:14,896 - episode: 74, steps: 21, reward: 21.0
INFO - main.py - 2022-08-29 21:59:14,929 - episode: 75, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 21:59:15,006 - episode: 76, steps: 41, reward: 41.0
INFO - main.py - 2022-08-29 21:59:15,038 - episode: 77, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 21:59:15,140 - episode: 78, steps: 66, reward: 66.0
INFO - main.py - 2022-08-29 21:59:15,172 - episode: 79, steps: 10, reward: 10.0
INFO - main.py - 2022-08-29 21:59:15,211 - episode: 80, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 21:59:15,258 - episode: 81, steps: 20, reward: 20.0
INFO - main.py - 2022-08-29 21:59:15,290 - episode: 82, steps: 12, reward: 12.0
INFO - main.py - 2022-08-29 21:59:15,321 - episode: 83, steps: 12, reward: 12.0
INFO - main.py - 2022-08-29 21:59:15,369 - episode: 84, steps: 25, reward: 25.0
INFO - main.py - 2022-08-29 21:59:15,429 - episode: 85, steps: 26, reward: 26.0
