INFO - main.py - 2022-08-27 12:10:41,500 - Using device:cuda
INFO - main.py - 2022-08-27 12:10:41,501 - Writing log file to algorithms/sarsa/logs
INFO - main.py - 2022-08-27 12:10:41,502 - Exp instance id = 20945
INFO - main.py - 2022-08-27 12:10:41,502 - Exp comment = 
INFO - main.py - 2022-08-27 12:10:41,590 - Start Training! Env: CliffWalking-v0, Algorithm: sarsa
INFO - main.py - 2022-08-27 12:10:41,610 - episode: 0, steps: 245, reward: -938
INFO - main.py - 2022-08-27 12:10:41,646 - episode: 1, steps: 612, reward: -1701
INFO - main.py - 2022-08-27 12:10:41,660 - episode: 2, steps: 258, reward: -258
INFO - main.py - 2022-08-27 12:10:41,670 - episode: 3, steps: 176, reward: -176
INFO - main.py - 2022-08-27 12:10:41,682 - episode: 4, steps: 218, reward: -218
INFO - main.py - 2022-08-27 12:10:41,693 - episode: 5, steps: 190, reward: -190
INFO - main.py - 2022-08-27 12:10:41,704 - episode: 6, steps: 188, reward: -188
INFO - main.py - 2022-08-27 12:10:41,714 - episode: 7, steps: 162, reward: -162
INFO - main.py - 2022-08-27 12:10:41,720 - episode: 8, steps: 94, reward: -94
INFO - main.py - 2022-08-27 12:10:41,729 - episode: 9, steps: 164, reward: -164
INFO - main.py - 2022-08-27 12:10:41,735 - episode: 10, steps: 101, reward: -101
INFO - main.py - 2022-08-27 12:10:41,742 - episode: 11, steps: 112, reward: -112
INFO - main.py - 2022-08-27 12:10:41,748 - episode: 12, steps: 96, reward: -96
INFO - main.py - 2022-08-27 12:10:41,755 - episode: 13, steps: 112, reward: -112
INFO - main.py - 2022-08-27 12:10:41,761 - episode: 14, steps: 98, reward: -98
INFO - main.py - 2022-08-27 12:10:41,765 - episode: 15, steps: 66, reward: -66
INFO - main.py - 2022-08-27 12:10:41,772 - episode: 16, steps: 119, reward: -119
INFO - main.py - 2022-08-27 12:10:41,777 - episode: 17, steps: 74, reward: -74
INFO - main.py - 2022-08-27 12:10:41,781 - episode: 18, steps: 65, reward: -65
INFO - main.py - 2022-08-27 12:10:41,787 - episode: 19, steps: 111, reward: -111
INFO - main.py - 2022-08-27 12:10:41,790 - episode: 20, steps: 33, reward: -33
INFO - main.py - 2022-08-27 12:10:41,797 - episode: 21, steps: 113, reward: -113
INFO - main.py - 2022-08-27 12:10:41,802 - episode: 22, steps: 75, reward: -75
INFO - main.py - 2022-08-27 12:10:41,808 - episode: 23, steps: 102, reward: -201
INFO - main.py - 2022-08-27 12:10:41,811 - episode: 24, steps: 44, reward: -44
INFO - main.py - 2022-08-27 12:10:41,815 - episode: 25, steps: 47, reward: -47
INFO - main.py - 2022-08-27 12:10:41,819 - episode: 26, steps: 62, reward: -62
INFO - main.py - 2022-08-27 12:10:41,823 - episode: 27, steps: 58, reward: -58
INFO - main.py - 2022-08-27 12:10:41,832 - episode: 28, steps: 137, reward: -137
INFO - main.py - 2022-08-27 12:10:41,838 - episode: 29, steps: 81, reward: -81
INFO - main.py - 2022-08-27 12:10:41,842 - episode: 30, steps: 56, reward: -56
INFO - main.py - 2022-08-27 12:10:41,846 - episode: 31, steps: 46, reward: -46
INFO - main.py - 2022-08-27 12:10:41,856 - episode: 32, steps: 88, reward: -88
INFO - main.py - 2022-08-27 12:10:41,862 - episode: 33, steps: 78, reward: -78
INFO - main.py - 2022-08-27 12:10:41,865 - episode: 34, steps: 45, reward: -45
